Name,Motherboard,Memory,Processor,Number,Date
Anjali Rajaram,GIGABYTE X570 AORUS Ultra,G.Skill Trident Z RGB 32GB (2 x 16GB),AMD Ryzen 9 5950X,5,2023-07-16
Priya Ramanathan,GIGABYTE X570 AORUS Ultra,Corsair Dominator Platinum RGB 32GB (2 x 16GB),AMD Ryzen 5 3600X,3,2023-07-20
Swathi Mukherjee,MSI MPG Z590 Gaming Carbon WiFi,Corsair Dominator Platinum RGB 32GB (2 x 16GB),AMD Ryzen 9 5900X,3,2023-07-20
Nithya Mukherjee,ASUS Prime X570-Pro,Kingston HyperX Fury 32GB (2 x 16GB),AMD Ryzen 9 5950X,5,2023-07-15
Swathi Balakrishnan,ASRock X570 Taichi,Corsair Vengeance RGB Pro 32GB (2 x 16GB),AMD Ryzen 7 3700X,4,2023-07-21
Rahul Patel,MSI MAG B460M Mortar,Team T-Force Delta RGB 32GB (2 x 16GB),AMD Ryzen 5 3600X,7,2023-07-16
Vikram Krishnan,ASRock X570 Taichi,HyperX Predator RGB 16GB (2 x 8GB),AMD Ryzen 5 3600X,1,2023-07-17
Ganesh Narayanan,ASRock B550 Steel Legend,Crucial Ballistix 16GB (2 x 8GB),Intel Core i9-11900K,4,2023-07-19
Divya Ramanathan,ASRock Z590 Extreme WiFi 6E,HyperX Predator RGB 16GB (2 x 8GB),Intel Core i7-10700K,8,2023-07-19
Lakshmi Malhotra,GIGABYTE B550 AORUS Elite,Corsair Dominator Platinum RGB 32GB (2 x 16GB),Intel Core i5-11600K,7,2023-07-21
Priya Verma,ASUS ROG Strix B550-F Gaming,ADATA XPG Gammix D10 32GB (2 x 16GB),Intel Core i9-10900K,7,2023-07-17
Nithya Mani,ASUS Prime X570-Pro,ADATA XPG Gammix D10 32GB (2 x 16GB),AMD Ryzen 5 3600X,4,2023-07-17
Divya Iyer,ASRock Z590 Extreme WiFi 6E,Crucial Ballistix 16GB (2 x 8GB),Intel Core i7-11700K,1,2023-07-15
Vikram Iyer,ASRock Z590 Extreme WiFi 6E,ADATA XPG Gammix D10 32GB (2 x 16GB),Intel Core i5-11400F,1,2023-07-20
Arjun Verma,MSI B450 TOMAHAWK MAX,G.Skill Ripjaws V 16GB (2 x 8GB),Intel Core i9-10900K,5,2023-07-18
Deepika Choudhury,GIGABYTE X570 AORUS Ultra,Crucial Ballistix RGB 16GB (2 x 8GB),AMD Ryzen 5 5600X,1,2023-07-20
Ravi Chopra,MSI B450 TOMAHAWK MAX,Crucial Ballistix RGB 16GB (2 x 8GB),AMD Ryzen 9 5900X,8,2023-07-20
Meera Choudhury,ASUS ROG Strix B550-F Gaming,Corsair Dominator Platinum RGB 32GB (2 x 16GB),Intel Core i5-11600K,4,2023-07-16
Amit Balakrishnan,GIGABYTE X570 AORUS Ultra,Team T-Force Delta RGB 32GB (2 x 16GB),AMD Ryzen 5 3600X,1,2023-07-20
Vikram Mukherjee,ASRock B550 Steel Legend,ADATA XPG Spectrix D60G 16GB (2 x 8GB),Intel Core i5-11400F,1,2023-07-18
Karthik Subramanian,ASRock Z590 Extreme WiFi 6E,Team T-Force Delta RGB 32GB (2 x 16GB),Intel Core i9-11900K,5,2023-07-15
Sanjay Chopra,GIGABYTE X570 AORUS Ultra,G.Skill Ripjaws V 16GB (2 x 8GB),Intel Core i9-11900K,5,2023-07-16
Lakshmi Mani,GIGABYTE B550 AORUS Elite,Team T-Force Delta RGB 32GB (2 x 16GB),Intel Core i7-11700K,4,2023-07-17
Sanjay Mukherjee,GIGABYTE Z490 AORUS Elite AC,Crucial Ballistix 16GB (2 x 8GB),Intel Core i7-10700K,4,2023-07-17
Deepika Kumar,GIGABYTE B550 AORUS Elite,Kingston HyperX Fury 32GB (2 x 16GB),AMD Ryzen 5 3600X,5,2023-07-16
Suresh Balakrishnan,GIGABYTE X570 AORUS Ultra,Kingston HyperX Fury 32GB (2 x 16GB),Intel Core i9-11900K,2,2023-07-19
Karthik Mohan,GIGABYTE X570 AORUS Ultra,ADATA XPG Spectrix D60G 16GB (2 x 8GB),Intel Core i7-10700K,3,2023-07-20
Radha Venkataraman,ASUS TUF B450-PLUS Gaming,G.Skill Trident Z RGB 32GB (2 x 16GB),Intel Core i7-10700K,5,2023-07-16
Meera Singh,GIGABYTE X570 AORUS Ultra,G.Skill Ripjaws V 16GB (2 x 8GB),AMD Ryzen 5 3600X,7,2023-07-18
Vikram Venkataraman,ASUS TUF B450-PLUS Gaming,Corsair Vengeance RGB Pro 32GB (2 x 16GB),AMD Ryzen 5 5600X,2,2023-07-17
Amit Patel,MSI B450 TOMAHAWK MAX,G.Skill Trident Z RGB 32GB (2 x 16GB),AMD Ryzen 5 5600X,8,2023-07-20
Deepika Chopra,GIGABYTE B550 AORUS Elite,Kingston HyperX Fury 32GB (2 x 16GB),AMD Ryzen 7 3700X,2,2023-07-16
Ganesh Mukherjee,GIGABYTE X570 AORUS Ultra,ADATA XPG Spectrix D60G 16GB (2 x 8GB),AMD Ryzen 7 5800X,8,2023-07-20
Anjali Patel,ASUS Prime X570-Pro,ADATA XPG Gammix D10 32GB (2 x 16GB),Intel Core i5-11600K,8,2023-07-15
Deepika Kumar,ASUS TUF B450-PLUS Gaming,Crucial Ballistix 16GB (2 x 8GB),Intel Core i5-11400F,4,2023-07-20
Meera Verma,MSI MAG B460M Mortar,G.Skill Trident Z RGB 32GB (2 x 16GB),Intel Core i7-11700K,4,2023-07-18
Amit Chopra,MSI B450 TOMAHAWK MAX,ADATA XPG Spectrix D60G 16GB (2 x 8GB),Intel Core i7-10700K,6,2023-07-17
Sonia Kumar,MSI MPG Z590 Gaming Carbon WiFi,Corsair Dominator Platinum RGB 32GB (2 x 16GB),AMD Ryzen 7 3700X,3,2023-07-16
Ganesh Mukherjee,ASRock X570 Taichi,Corsair Vengeance LPX 16GB (2 x 8GB),Intel Core i9-11900K,4,2023-07-20
Ganesh Balakrishnan,ASRock X570 Taichi,G.Skill Trident Z RGB 32GB (2 x 16GB),Intel Core i9-10900K,7,2023-07-18
Deepika Sharma,ASRock Z590 Extreme WiFi 6E,Team T-Force Delta RGB 32GB (2 x 16GB),AMD Ryzen 7 3700X,4,2023-07-17
Nithya Venkataraman,ASUS Prime X570-Pro,HyperX Predator RGB 16GB (2 x 8GB),Intel Core i7-10700K,8,2023-07-21
Arjun Mohan,MSI MPG Z590 Gaming Carbon WiFi,ADATA XPG Spectrix D60G 16GB (2 x 8GB),Intel Core i7-10700K,7,2023-07-15
Suresh Choudhury,MSI MAG B460M Mortar,Corsair Dominator Platinum RGB 32GB (2 x 16GB),Intel Core i7-11700K,1,2023-07-20
Suresh Mukherjee,GIGABYTE X570 AORUS Ultra,G.Skill Ripjaws V 16GB (2 x 8GB),AMD Ryzen 5 5600X,3,2023-07-21
Amit Sharma,GIGABYTE B550 AORUS Elite,Corsair Dominator Platinum RGB 32GB (2 x 16GB),AMD Ryzen 5 3600X,1,2023-07-15
Sanjay Patel,ASUS Prime X570-Pro,G.Skill Trident Z RGB 32GB (2 x 16GB),Intel Core i9-11900K,3,2023-07-15
Radha Rajaram,GIGABYTE B550 AORUS Elite,ADATA XPG Spectrix D60G 16GB (2 x 8GB),Intel Core i7-10700K,3,2023-07-19
Ravi Venkataraman,GIGABYTE Z490 AORUS Elite AC,Corsair Dominator Platinum RGB 32GB (2 x 16GB),AMD Ryzen 5 3600X,2,2023-07-16
Ganesh Balakrishnan,ASUS TUF B450-PLUS Gaming,Crucial Ballistix RGB 16GB (2 x 8GB),AMD Ryzen 5 3600X,7,2023-07-19
Anjali Balakrishnan,ASUS Prime X570-Pro,Kingston HyperX Fury 32GB (2 x 16GB),Intel Core i5-11400F,6,2023-07-15
Ganesh Patel,ASRock Z590 Extreme WiFi 6E,Corsair Dominator Platinum RGB 32GB (2 x 16GB),Intel Core i7-10700K,8,2023-07-17
Divya Mani,ASUS TUF B450-PLUS Gaming,G.Skill Trident Z RGB 32GB (2 x 16GB),AMD Ryzen 9 5950X,8,2023-07-18
Prakash Ramanathan,ASRock B550 Steel Legend,Kingston HyperX Fury 32GB (2 x 16GB),AMD Ryzen 5 5600X,4,2023-07-16
Ganesh Venkataraman,ASRock Z590 Extreme WiFi 6E,Corsair Dominator Platinum RGB 32GB (2 x 16GB),Intel Core i9-11900K,2,2023-07-19
Sonia Malhotra,ASRock B550 Steel Legend,Corsair Vengeance RGB Pro 32GB (2 x 16GB),Intel Core i7-11700K,3,2023-07-15
Deepika Gupta,ASUS TUF B450-PLUS Gaming,Kingston HyperX Fury 32GB (2 x 16GB),AMD Ryzen 9 5900X,8,2023-07-21
Suresh Kumar,GIGABYTE B550 AORUS Elite,G.Skill Ripjaws V 16GB (2 x 8GB),Intel Core i7-10700K,3,2023-07-21
Ravi Venkataraman,ASUS TUF B450-PLUS Gaming,Team T-Force Delta RGB 32GB (2 x 16GB),Intel Core i7-11700K,4,2023-07-16
Ravi Chopra,GIGABYTE X570 AORUS Ultra,Corsair Dominator Platinum RGB 32GB (2 x 16GB),Intel Core i9-11900K,7,2023-07-18
Ravi Mohan,MSI B450 TOMAHAWK MAX,ADATA XPG Spectrix D60G 16GB (2 x 8GB),AMD Ryzen 7 3700X,8,2023-07-18
Swathi Sharma,MSI MPG Z590 Gaming Carbon WiFi,G.Skill Ripjaws V 16GB (2 x 8GB),AMD Ryzen 5 5600X,2,2023-07-19
Swathi Kumar,ASRock X570 Taichi,Crucial Ballistix 16GB (2 x 8GB),Intel Core i9-10900K,7,2023-07-19
Amit Mani,MSI MAG B460M Mortar,HyperX Predator RGB 16GB (2 x 8GB),Intel Core i7-10700K,3,2023-07-17
Vikram Venkataraman,ASUS ROG Strix B550-F Gaming,Corsair Vengeance RGB Pro 32GB (2 x 16GB),AMD Ryzen 5 3600X,4,2023-07-15
Amit Patel,MSI B450 TOMAHAWK MAX,ADATA XPG Spectrix D60G 16GB (2 x 8GB),Intel Core i7-10700K,2,2023-07-17
Lakshmi Venkataraman,GIGABYTE Z490 AORUS Elite AC,Crucial Ballistix 16GB (2 x 8GB),Intel Core i7-10700K,1,2023-07-15
Vikram Mukherjee,ASUS TUF B450-PLUS Gaming,Corsair Dominator Platinum RGB 32GB (2 x 16GB),Intel Core i5-11400F,5,2023-07-16
Sonia Venkataraman,ASUS TUF B450-PLUS Gaming,ADATA XPG Gammix D10 32GB (2 x 16GB),Intel Core i9-11900K,7,2023-07-19
Anjali Venkataraman,ASRock B550 Steel Legend,Crucial Ballistix RGB 16GB (2 x 8GB),AMD Ryzen 7 5800X,4,2023-07-18
Sanjay Singh,ASRock X570 Taichi,Team T-Force Delta RGB 32GB (2 x 16GB),Intel Core i7-10700K,2,2023-07-16
Lakshmi Mani,GIGABYTE X570 AORUS Ultra,Corsair Dominator Platinum RGB 32GB (2 x 16GB),AMD Ryzen 5 3600X,5,2023-07-18
Meera Venkataraman,ASRock Z590 Extreme WiFi 6E,Corsair Vengeance RGB Pro 32GB (2 x 16GB),AMD Ryzen 5 5600X,3,2023-07-15
Radha Narayanan,MSI MAG B460M Mortar,Crucial Ballistix RGB 16GB (2 x 8GB),Intel Core i9-11900K,4,2023-07-21
Rahul Sharma,ASUS TUF B450-PLUS Gaming,Corsair Dominator Platinum RGB 32GB (2 x 16GB),AMD Ryzen 5 5600X,7,2023-07-15
Priya Mohan,MSI MPG Z590 Gaming Carbon WiFi,G.Skill Ripjaws V 16GB (2 x 8GB),Intel Core i7-10700K,4,2023-07-21
Amit Chopra,MSI MAG B460M Mortar,G.Skill Ripjaws V 16GB (2 x 8GB),AMD Ryzen 7 5800X,3,2023-07-15
Sonia Singh,MSI MPG Z590 Gaming Carbon WiFi,HyperX Predator RGB 16GB (2 x 8GB),Intel Core i9-10900K,7,2023-07-20
Arjun Singh,ASUS Prime X570-Pro,Kingston HyperX Fury 32GB (2 x 16GB),Intel Core i7-10700K,4,2023-07-18
Sanjay Verma,ASUS ROG Strix B550-F Gaming,Crucial Ballistix 16GB (2 x 8GB),Intel Core i5-11400F,3,2023-07-17
Sanjay Kumar,MSI MPG Z590 Gaming Carbon WiFi,ADATA XPG Gammix D10 32GB (2 x 16GB),AMD Ryzen 5 5600X,1,2023-07-20
Radha Gupta,GIGABYTE Z490 AORUS Elite AC,ADATA XPG Spectrix D60G 16GB (2 x 8GB),Intel Core i5-11600K,7,2023-07-17
Rahul Kumar,ASUS Prime X570-Pro,ADATA XPG Gammix D10 32GB (2 x 16GB),Intel Core i9-10900K,8,2023-07-20
Prakash Kumar,ASUS Prime X570-Pro,Corsair Vengeance LPX 16GB (2 x 8GB),AMD Ryzen 9 5950X,6,2023-07-20
Arjun Krishnan,ASRock X570 Taichi,Corsair Dominator Platinum RGB 32GB (2 x 16GB),AMD Ryzen 5 5600X,3,2023-07-17
Suresh Choudhury,ASRock B550 Steel Legend,Corsair Vengeance LPX 16GB (2 x 8GB),Intel Core i9-11900K,3,2023-07-21
Ravi Subramanian,ASUS ROG Strix B550-F Gaming,Corsair Vengeance LPX 16GB (2 x 8GB),AMD Ryzen 9 5950X,1,2023-07-15
Vikram Patel,ASRock B550 Steel Legend,Corsair Vengeance RGB Pro 32GB (2 x 16GB),Intel Core i7-10700K,2,2023-07-16
Nithya Kumar,GIGABYTE X570 AORUS Ultra,Corsair Vengeance RGB Pro 32GB (2 x 16GB),Intel Core i5-11400F,8,2023-07-20
Priya Singh,MSI B450 TOMAHAWK MAX,Crucial Ballistix 16GB (2 x 8GB),Intel Core i5-11600K,2,2023-07-19
Anjali Kumar,GIGABYTE X570 AORUS Ultra,Crucial Ballistix 16GB (2 x 8GB),Intel Core i5-11600K,6,2023-07-19
Anjali Verma,GIGABYTE X570 AORUS Ultra,Crucial Ballistix 16GB (2 x 8GB),AMD Ryzen 5 5600X,7,2023-07-21
Meera Balakrishnan,MSI B450 TOMAHAWK MAX,G.Skill Trident Z RGB 32GB (2 x 16GB),AMD Ryzen 5 3600X,1,2023-07-17
Vikram Mukherjee,ASUS ROG Strix B550-F Gaming,HyperX Predator RGB 16GB (2 x 8GB),AMD Ryzen 7 3700X,1,2023-07-18
Sanjay Krishnan,ASRock X570 Taichi,Crucial Ballistix RGB 16GB (2 x 8GB),Intel Core i7-11700K,3,2023-07-18
Priya Kumar,ASRock X570 Taichi,Corsair Vengeance RGB Pro 32GB (2 x 16GB),AMD Ryzen 7 3700X,7,2023-07-17
Priya Sharma,GIGABYTE Z490 AORUS Elite AC,Corsair Dominator Platinum RGB 32GB (2 x 16GB),Intel Core i9-10900K,5,2023-07-16
Prakash Malhotra,GIGABYTE B550 AORUS Elite,HyperX Predator RGB 16GB (2 x 8GB),Intel Core i7-10700K,1,2023-07-21
Rahul Iyer,ASRock Z590 Extreme WiFi 6E,G.Skill Ripjaws V 16GB (2 x 8GB),AMD Ryzen 5 3600X,8,2023-07-21
Radha Rajaram,ASRock B550 Steel Legend,ADATA XPG Gammix D10 32GB (2 x 16GB),AMD Ryzen 7 3700X,3,2023-07-15
Meera Rajaram,MSI B450 TOMAHAWK MAX,Corsair Dominator Platinum RGB 32GB (2 x 16GB),Intel Core i9-11900K,1,2023-07-18
Suresh Verma,ASUS Prime X570-Pro,Corsair Dominator Platinum RGB 32GB (2 x 16GB),Intel Core i9-10900K,4,2023-07-21
Radha Rajaram,ASRock X570 Taichi,G.Skill Ripjaws V 16GB (2 x 8GB),Intel Core i7-11700K,8,2023-07-19
Prakash Mohan,ASRock Z590 Extreme WiFi 6E,ADATA XPG Spectrix D60G 16GB (2 x 8GB),AMD Ryzen 5 3600X,7,2023-07-15
Sanjay Choudhury,MSI B450 TOMAHAWK MAX,ADATA XPG Gammix D10 32GB (2 x 16GB),AMD Ryzen 5 3600X,6,2023-07-17
Swathi Verma,ASRock Z590 Extreme WiFi 6E,Crucial Ballistix RGB 16GB (2 x 8GB),Intel Core i5-11400F,2,2023-07-19
Divya Narayanan,ASRock X570 Taichi,Corsair Dominator Platinum RGB 32GB (2 x 16GB),AMD Ryzen 9 5900X,7,2023-07-15
Nithya Kumar,ASUS ROG Strix B550-F Gaming,ADATA XPG Spectrix D60G 16GB (2 x 8GB),AMD Ryzen 7 3700X,2,2023-07-15
Ganesh Patel,GIGABYTE Z490 AORUS Elite AC,Team T-Force Delta RGB 32GB (2 x 16GB),Intel Core i9-11900K,5,2023-07-16
Arjun Venkataraman,ASUS TUF B450-PLUS Gaming,Corsair Dominator Platinum RGB 32GB (2 x 16GB),AMD Ryzen 7 3700X,6,2023-07-20
Ravi Iyer,ASRock B550 Steel Legend,G.Skill Ripjaws V 16GB (2 x 8GB),AMD Ryzen 7 5800X,4,2023-07-17
Swathi Mukherjee,GIGABYTE Z490 AORUS Elite AC,ADATA XPG Spectrix D60G 16GB (2 x 8GB),Intel Core i5-11400F,5,2023-07-20
Deepika Singh,ASUS TUF B450-PLUS Gaming,HyperX Predator RGB 16GB (2 x 8GB),Intel Core i5-11400F,4,2023-07-15
Swathi Rajaram,MSI B450 TOMAHAWK MAX,HyperX Predator RGB 16GB (2 x 8GB),AMD Ryzen 7 3700X,3,2023-07-17
Priya Gupta,GIGABYTE Z490 AORUS Elite AC,Kingston HyperX Fury 32GB (2 x 16GB),AMD Ryzen 7 5800X,1,2023-07-21
Arjun Narayanan,GIGABYTE Z490 AORUS Elite AC,G.Skill Ripjaws V 16GB (2 x 8GB),AMD Ryzen 7 5800X,2,2023-07-16
Rahul Patel,ASRock Z590 Extreme WiFi 6E,Crucial Ballistix 16GB (2 x 8GB),Intel Core i9-10900K,5,2023-07-21
Swathi Singh,MSI MAG B460M Mortar,HyperX Predator RGB 16GB (2 x 8GB),Intel Core i9-11900K,6,2023-07-15
Vikram Narayanan,MSI MAG B460M Mortar,Kingston HyperX Fury 32GB (2 x 16GB),Intel Core i7-10700K,7,2023-07-19
Swathi Rajaram,ASRock Z590 Extreme WiFi 6E,Kingston HyperX Fury 32GB (2 x 16GB),AMD Ryzen 9 5900X,4,2023-07-18
Vikram Gupta,ASUS TUF B450-PLUS Gaming,HyperX Predator RGB 16GB (2 x 8GB),Intel Core i7-10700K,5,2023-07-17
Amit Iyer,GIGABYTE X570 AORUS Ultra,Crucial Ballistix RGB 16GB (2 x 8GB),AMD Ryzen 5 5600X,3,2023-07-18
Ravi Mukherjee,ASRock B550 Steel Legend,Crucial Ballistix RGB 16GB (2 x 8GB),AMD Ryzen 7 3700X,5,2023-07-20
Arjun Subramanian,GIGABYTE B550 AORUS Elite,ADATA XPG Gammix D10 32GB (2 x 16GB),Intel Core i5-11400F,8,2023-07-18
Deepika Balakrishnan,ASRock B550 Steel Legend,G.Skill Ripjaws V 16GB (2 x 8GB),AMD Ryzen 7 5800X,1,2023-07-15
Sonia Ramanathan,ASRock B550 Steel Legend,Crucial Ballistix 16GB (2 x 8GB),AMD Ryzen 9 5900X,3,2023-07-20
Rahul Iyer,MSI MAG B460M Mortar,Corsair Dominator Platinum RGB 32GB (2 x 16GB),AMD Ryzen 5 3600X,4,2023-07-18
Vikram Patel,MSI MPG Z590 Gaming Carbon WiFi,Kingston HyperX Fury 32GB (2 x 16GB),Intel Core i7-11700K,2,2023-07-19
Lakshmi Mukherjee,ASRock X570 Taichi,ADATA XPG Spectrix D60G 16GB (2 x 8GB),Intel Core i9-11900K,2,2023-07-16
Vikram Patel,ASUS TUF B450-PLUS Gaming,Crucial Ballistix RGB 16GB (2 x 8GB),AMD Ryzen 7 5800X,8,2023-07-16
Suresh Subramanian,ASRock Z590 Extreme WiFi 6E,Crucial Ballistix 16GB (2 x 8GB),Intel Core i7-11700K,7,2023-07-15
Prakash Sharma,ASUS Prime X570-Pro,Corsair Dominator Platinum RGB 32GB (2 x 16GB),Intel Core i5-11600K,8,2023-07-20
Anjali Balakrishnan,ASRock B550 Steel Legend,Corsair Vengeance LPX 16GB (2 x 8GB),AMD Ryzen 5 3600X,6,2023-07-15
Amit Chopra,ASUS Prime X570-Pro,Corsair Vengeance RGB Pro 32GB (2 x 16GB),AMD Ryzen 5 5600X,7,2023-07-21
Anjali Krishnan,ASUS ROG Strix B550-F Gaming,HyperX Predator RGB 16GB (2 x 8GB),AMD Ryzen 9 5900X,7,2023-07-21
Prakash Krishnan,MSI MAG B460M Mortar,Crucial Ballistix 16GB (2 x 8GB),AMD Ryzen 5 3600X,8,2023-07-21
Vikram Krishnan,MSI MPG Z590 Gaming Carbon WiFi,Kingston HyperX Fury 32GB (2 x 16GB),Intel Core i5-11600K,3,2023-07-15
Vikram Gupta,ASUS Prime X570-Pro,Team T-Force Delta RGB 32GB (2 x 16GB),Intel Core i7-11700K,1,2023-07-16
Lakshmi Choudhury,ASRock Z590 Extreme WiFi 6E,Corsair Vengeance LPX 16GB (2 x 8GB),AMD Ryzen 9 5900X,3,2023-07-17
Amit Mukherjee,MSI MPG Z590 Gaming Carbon WiFi,G.Skill Trident Z RGB 32GB (2 x 16GB),Intel Core i7-10700K,4,2023-07-18
Priya Patel,ASUS TUF B450-PLUS Gaming,Corsair Vengeance RGB Pro 32GB (2 x 16GB),Intel Core i9-10900K,6,2023-07-21
Lakshmi Mohan,ASRock B550 Steel Legend,Kingston HyperX Fury 32GB (2 x 16GB),AMD Ryzen 7 5800X,3,2023-07-21
Rahul Venkataraman,GIGABYTE B550 AORUS Elite,Team T-Force Delta RGB 32GB (2 x 16GB),AMD Ryzen 9 5950X,7,2023-07-17
Karthik Venkataraman,ASRock B550 Steel Legend,Corsair Dominator Platinum RGB 32GB (2 x 16GB),Intel Core i9-11900K,8,2023-07-21
Sonia Rajaram,MSI MAG B460M Mortar,G.Skill Trident Z RGB 32GB (2 x 16GB),AMD Ryzen 5 3600X,4,2023-07-17
Nithya Rajaram,ASUS Prime X570-Pro,Corsair Vengeance RGB Pro 32GB (2 x 16GB),AMD Ryzen 7 5800X,8,2023-07-17
Prakash Subramanian,MSI B450 TOMAHAWK MAX,ADATA XPG Gammix D10 32GB (2 x 16GB),AMD Ryzen 9 5900X,4,2023-07-16
Deepika Verma,GIGABYTE B550 AORUS Elite,Corsair Vengeance RGB Pro 32GB (2 x 16GB),AMD Ryzen 9 5950X,5,2023-07-16
Amit Krishnan,ASUS TUF B450-PLUS Gaming,Corsair Vengeance LPX 16GB (2 x 8GB),AMD Ryzen 9 5900X,8,2023-07-16
Ganesh Patel,ASRock Z590 Extreme WiFi 6E,G.Skill Trident Z RGB 32GB (2 x 16GB),AMD Ryzen 9 5950X,2,2023-07-19
Vikram Verma,GIGABYTE B550 AORUS Elite,G.Skill Trident Z RGB 32GB (2 x 16GB),Intel Core i5-11400F,1,2023-07-15
Nithya Rajaram,MSI B450 TOMAHAWK MAX,Team T-Force Delta RGB 32GB (2 x 16GB),AMD Ryzen 7 5800X,8,2023-07-20
Deepika Verma,ASUS Prime X570-Pro,Crucial Ballistix RGB 16GB (2 x 8GB),AMD Ryzen 7 5800X,8,2023-07-18
Radha Singh,ASRock Z590 Extreme WiFi 6E,HyperX Predator RGB 16GB (2 x 8GB),AMD Ryzen 7 3700X,4,2023-07-21
Prakash Singh,ASUS ROG Strix B550-F Gaming,Kingston HyperX Fury 32GB (2 x 16GB),AMD Ryzen 9 5950X,1,2023-07-20
Amit Sharma,MSI B450 TOMAHAWK MAX,Crucial Ballistix 16GB (2 x 8GB),Intel Core i9-11900K,2,2023-07-20
Ravi Sharma,GIGABYTE B550 AORUS Elite,Team T-Force Delta RGB 32GB (2 x 16GB),Intel Core i7-10700K,8,2023-07-21
Ganesh Mani,MSI MAG B460M Mortar,Corsair Dominator Platinum RGB 32GB (2 x 16GB),Intel Core i5-11400F,8,2023-07-18
Sonia Iyer,ASRock X570 Taichi,G.Skill Ripjaws V 16GB (2 x 8GB),AMD Ryzen 7 5800X,8,2023-07-19
Rahul Gupta,ASRock B550 Steel Legend,Kingston HyperX Fury 32GB (2 x 16GB),AMD Ryzen 9 5900X,2,2023-07-16
Karthik Venkataraman,ASUS TUF B450-PLUS Gaming,ADATA XPG Gammix D10 32GB (2 x 16GB),Intel Core i9-10900K,4,2023-07-18
Priya Rajaram,ASUS TUF B450-PLUS Gaming,Corsair Vengeance RGB Pro 32GB (2 x 16GB),Intel Core i9-11900K,5,2023-07-18
Swathi Verma,GIGABYTE B550 AORUS Elite,G.Skill Trident Z RGB 32GB (2 x 16GB),AMD Ryzen 9 5950X,4,2023-07-16
Anjali Kumar,ASUS ROG Strix B550-F Gaming,Corsair Vengeance LPX 16GB (2 x 8GB),AMD Ryzen 9 5950X,3,2023-07-19
Swathi Singh,ASRock B550 Steel Legend,ADATA XPG Spectrix D60G 16GB (2 x 8GB),AMD Ryzen 5 5600X,2,2023-07-16
Karthik Chopra,ASUS TUF B450-PLUS Gaming,Corsair Vengeance RGB Pro 32GB (2 x 16GB),Intel Core i5-11400F,6,2023-07-21
Suresh Mani,MSI MAG B460M Mortar,ADATA XPG Gammix D10 32GB (2 x 16GB),AMD Ryzen 9 5950X,1,2023-07-15
Arjun Patel,ASUS ROG Strix B550-F Gaming,Team T-Force Delta RGB 32GB (2 x 16GB),Intel Core i9-11900K,8,2023-07-15
Rahul Patel,MSI MPG Z590 Gaming Carbon WiFi,Crucial Ballistix 16GB (2 x 8GB),AMD Ryzen 7 3700X,4,2023-07-18
Arjun Balakrishnan,GIGABYTE B550 AORUS Elite,G.Skill Ripjaws V 16GB (2 x 8GB),Intel Core i9-10900K,7,2023-07-17
Prakash Venkataraman,GIGABYTE X570 AORUS Ultra,Corsair Vengeance RGB Pro 32GB (2 x 16GB),AMD Ryzen 5 3600X,8,2023-07-16
Arjun Ramanathan,ASUS TUF B450-PLUS Gaming,Corsair Dominator Platinum RGB 32GB (2 x 16GB),AMD Ryzen 5 5600X,7,2023-07-18
Swathi Verma,ASRock B550 Steel Legend,Corsair Vengeance LPX 16GB (2 x 8GB),Intel Core i7-10700K,3,2023-07-19
Lakshmi Malhotra,MSI B450 TOMAHAWK MAX,ADATA XPG Spectrix D60G 16GB (2 x 8GB),AMD Ryzen 7 5800X,8,2023-07-20
Rahul Krishnan,GIGABYTE B550 AORUS Elite,Corsair Vengeance RGB Pro 32GB (2 x 16GB),AMD Ryzen 9 5900X,6,2023-07-19
Ravi Chopra,ASUS TUF B450-PLUS Gaming,G.Skill Trident Z RGB 32GB (2 x 16GB),Intel Core i7-11700K,4,2023-07-21
Amit Mukherjee,GIGABYTE Z490 AORUS Elite AC,HyperX Predator RGB 16GB (2 x 8GB),Intel Core i9-11900K,8,2023-07-15
Sonia Mukherjee,MSI MPG Z590 Gaming Carbon WiFi,ADATA XPG Gammix D10 32GB (2 x 16GB),AMD Ryzen 7 5800X,8,2023-07-19
Divya Mohan,ASUS TUF B450-PLUS Gaming,Corsair Vengeance LPX 16GB (2 x 8GB),AMD Ryzen 5 5600X,1,2023-07-16
Sanjay Mani,MSI B450 TOMAHAWK MAX,Corsair Vengeance LPX 16GB (2 x 8GB),Intel Core i9-11900K,4,2023-07-21
Meera Krishnan,ASRock Z590 Extreme WiFi 6E,G.Skill Trident Z RGB 32GB (2 x 16GB),AMD Ryzen 5 5600X,1,2023-07-18
Deepika Singh,ASRock Z590 Extreme WiFi 6E,HyperX Predator RGB 16GB (2 x 8GB),AMD Ryzen 7 5800X,3,2023-07-19
Radha Sharma,ASUS ROG Strix B550-F Gaming,Crucial Ballistix RGB 16GB (2 x 8GB),Intel Core i7-11700K,6,2023-07-21
Ganesh Iyer,MSI MPG Z590 Gaming Carbon WiFi,ADATA XPG Gammix D10 32GB (2 x 16GB),Intel Core i7-11700K,8,2023-07-17
Sanjay Iyer,ASUS ROG Strix B550-F Gaming,Crucial Ballistix 16GB (2 x 8GB),AMD Ryzen 5 3600X,5,2023-07-16
Sonia Singh,ASRock Z590 Extreme WiFi 6E,Kingston HyperX Fury 32GB (2 x 16GB),Intel Core i7-10700K,3,2023-07-18
